Parameter_ID,Form,Comment,Loan,Source,Pages,Ultimate source,Glottocode,Name,Language_ID
1,ka,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
1,kapea,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
2,rua,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
3,koi,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
4,vani,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
5,ima,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
6,karakoi,reduplication indicated by the prefix ‘kara-’,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
7,isu,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
8,karavani,reduplication indicated by the prefix ‘kara-’,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
9,karavani ka,2 x 4 + 1,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
9,kapea,2 x 4 + 1,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
10,ouka,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
11,ouka ka,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
11,kapea,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
15,ouka ima,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
